run_name,conv1_filters,conv2_filters,conv3_filters,kernel_size,activation,dropout,optimizer,learning_rate,batch_size,epochs,early_stopping,patience,min_delta,data_augmentation,best_epoch,best_val_loss,actual_epochs_ran,stopped_early,test_loss,test_accuracy,notes
gelu_64-128-256_drop0.2_flip + crop,64,128,256,3,gelu,0.2,adam,0.001,32,50,True,5,0.001,flip + crop,2,0.6710204291820526,7,True,0.7079606956481933,0.7547,baseline run
gelu_64-128-256_drop0.3_flip + crop,64,128,256,3,gelu,0.3,adam,0.001,32,50,True,5,0.001,flip + crop,3,0.7111101673126221,8,True,0.7001636695623398,0.7678,baseline run
gelu_64-128-256_drop0.5_flip + crop,64,128,256,3,gelu,0.5,adam,0.001,32,50,True,5,0.001,flip + crop,4,0.6266155597448348,9,True,0.6648443361759185,0.7795,"baseline run, no b"
gelu_64-128-256_drop0.7_flip + crop,64,128,256,3,gelu,0.7,adam,0.001,32,50,True,5,0.001,flip + crop,4,0.6342720660209655,9,True,0.6539563325405121,0.7774,"baseline run, no b"
gelu_64-128-256_drop0.0_flip + crop,64,128,256,3,gelu,0.0,adam,0.001,32,50,True,5,0.001,flip + crop,2,0.6847622657775879,7,True,0.6910938870429992,0.764,"baseline run, no b"
relu_64-128-256_drop0.0_flip + crop,64,128,256,3,relu,0.0,adam,0.001,32,50,True,5,0.001,flip + crop,3,0.7572967322349549,8,True,0.7440304599761963,0.7495,"baseline run, no b"
relu_64-128-256_drop0.5_flip + crop,64,128,256,3,relu,0.5,adam,0.001,32,50,True,5,0.001,flip + crop,5,0.7513487407684326,10,True,0.7282906027793884,0.7535,"baseline run, no b"
swish_64-128-256_drop0.5_flip + crop,64,128,256,3,swish,0.5,adam,0.001,32,50,True,5,0.001,flip + crop,5,0.6635046684741974,10,True,0.679430193567276,0.7812,"baseline run, no b"
swish_64-128-256_drop0.0_flip + crop,64,128,256,3,swish,0.0,adam,0.001,32,50,True,5,0.001,flip + crop,3,0.7150758333206176,8,True,0.7333658550262451,0.7668,"baseline run, no b"
relu_64-128-256_drop0.0_flip + crop,64,128,256,3,relu,0.0,adam,0.001,32,50,True,5,0.001,flip + crop,5,0.6484654152870178,10,True,0.65663024020195,0.7844,"baseline architecture run, now with batch norm"
relu_64-128-256_drop0.5_flip + crop,64,128,256,3,relu,0.5,adam,0.001,32,50,True,5,0.001,flip + crop,8,0.6187303634643555,13,True,0.6433308934211731,0.7883,"baseline architecture run, now with batch norm"
relu_64-128-256_drop0.0_none,64,128,256,3,relu,0.0,adam,0.001,32,50,True,5,0.001,none,6,0.6510020645141602,11,True,0.6660741466999054,0.783,"baseline architecture run, now with batch norm"
gelu_64-128-256_drop0.0_none,64,128,256,3,gelu,0.0,adam,0.001,32,50,True,5,0.001,none,5,0.6315205003738403,10,True,0.6218245402336121,0.7985,"baseline architecture run, now with batch norm"
swish_64-128-256_drop0.5_none,64,128,256,3,swish,0.5,adam,0.001,32,50,True,5,0.001,none,9,0.6311054192066192,14,True,0.6355981062412261,0.8013,"baseline architecture run, now with batch norm"
swish_64-128-256_drop0.5_flip + crop,64,128,256,3,swish,0.5,adam,0.001,32,50,True,5,0.001,flip + crop,9,0.6230907890021801,14,True,0.619041753911972,0.7993,"baseline architecture run, now with batch norm"
swish_64-128-256_drop0.3_flip + crop,64,128,256,3,swish,0.3,adam,0.001,32,50,True,5,0.001,flip + crop,5,0.6287412610054016,10,True,0.6376366206645966,0.7825,"baseline architecture run, now with batch norm"
swish_64-128-256_drop0.1_flip + crop,64,128,256,3,swish,0.1,adam,0.001,32,50,True,5,0.001,flip + crop,6,0.6104445695638656,11,True,0.6218493221282959,0.7954,"baseline architecture run, now with batch norm"
